X,Y
"Техническим результатом предполагаемой конструкции теплообменника типа «труба в трубе» является снижение термического сопротивления движению газового теплоносителя во внутренней трубе за счет предотвращения образования термических отложений на стенках внутренней трубы и поверхности интенсификатора потока при его непрерывной вибрации, что позволяет сохранить высокую скорость теплообмена и обеспечивает большую производительность в течение длительного периода работы без остановки на очистку от этих отложений.",Колебания газового теплоносителя; образования термических загрязнителей; отложения;
"Эффект памяти формы - явление возврата к первоначальной форме при нагреве, которое наблюдается у некоторых материалов после предварительной деформации.",Возврат к первоначальным; деформация сплава;
"В предлагаемой полезной модели рассматривается следующий вариант: если температура реакционной массы в горизонтальных трубах радиантного змеевика на выходе реакционной массы не превышает температуру, установленную регламентом, экраны не закрывают поверхность труб, при превышении этой температуры в стержнях, выполненных из материала, обладающего эффектом памяти, они изгибаются.",Температура;
"Таким образом, снабжение горизонтальных труб на выходе радиантного змеевика  из печи экранами, соединенных с этими горизонтальными трубами стержнями, выполненными из материала, обладающего эффектом памяти, позволяет обеспечить саморегулирование температуры реакционной массы.",Температура;
"Испарение - фазовый переход вещества из жидкого состояния в парообразное или газообразное, происходящий на поверхности вещества.",испарение; газообразное;
"Пример: нагрев жидкости выше температуры кипения при отсутствии в ней центров парообразования (пылинок, шероховатостей на стенках сосуда и т.",Температура;
2) перегрев пара - повышение температуры пара выше температуры насыщенного пара при том же давлении.,пара; Температура;
Термическая деструкция — это процесс разрушения макромолекул под влиянием повышенных температур.,разрушение макромолекул; Температура;
"Макромолекулы имеют высокую молекулярную массу В рассматриваемой полезной модели предлагается снабжать горизонтальные трубы, установленные на выходе радиантного змеевика, экранами позволяет при перегреве труб, который возникает вследствие радиантного лучеиспускания и химической реакции внутри труб, перекрывать поток лучистой энергии как зонтиком, тем самым уменьшать этот поток, и снижать температуру, что предотвращает термическую деструкцию реакционной массы и образование термических отложений на стенке горизонтальных труб, а значит исключает необходимость остановки работы печи на очистку внутренней поверхности труб от этих отложений, тем самым увеличивая срок службы и производительность.",молекулярную массу; Реакционная масса;
"Конвекция – это вид теплообмена, при котором внутренняя энергия передается струями и потоками.",Теплообмен; Внутренняя энергия;
"Размещение однопоточного или двухпоточного входа сырья по линии в подовой (нижней) части печи и прохождение потоком сырья по радиантному змеевику снизу вверх последовательно через секции панельных горелок, топливо к которым распределяют от общего коллектора, дает возможность регулировки эффективной (облучаемой) длины радиантного змеевика и профиля температуры продукта вдоль него.",Температура; Сырье;
По мере прохождения змеевика камеры радиации в районе первой секции панельных горелок температуру сырьевого потока повышают по кривой второго порядка до величины разложения (крекинга) сырья (420-430°С),Температура; Сырье;
"Крекинг - высокотемпературная переработка нефти и её фракций с целью получения, как правило, продуктов меньшей молекулярной массы — моторного топлива, смазочных масел и т. п., а также сырья для химической и нефтехимической промышленности. Крекинг протекает с разрывом связей С—С и образованием свободных радикалов или карбанионов. Одновременно с разрывом связей С—С происходит дегидрирование, изомеризация, полимеризация и конденсация как промежуточных, так и исходных веществ. В рассматриваемой модели по мере прохождения змеевика камеры радиации в районе первой секции  панельных горелок  температуру сырьевого потока повышают по кривой второго порядка до величины разложения (крекинга) сырья (420-430°С), при этом структура потока внутри трубы также изменяется и переходит от однородной (жидкой среды) к двухфазной (газопаровой - жидкой) с дисперсно-кольцевой структурой; в районе второй секции панельных горелок  температуру сырьевого потока поднимают предыдущим образом до 440-460°С, при этом исходное сырье разлагается (крекируется) с образованием низкомолекулярных маловязких компонентов (газ, бензин, легкий и тяжелый газойль), объем потока увеличивается по экспоненциальной зависимости, соответственно, повышается скорость потока и движение потока становится более устойчивым из-за преобладания на большей части змеевика дисперсно-кольцевой структуры потока; в районе третьей секции панельных горелок температуру сырьевого потока повышают плавно до 480°С, при этом в процесс крекинга вовлекаются более термоустойчивые нафтеноароматические углеводороды с дальнейшим увеличением в продуктах крекинга доли низкомолекулярных компонентов; в районе четвертой секции панельных горелок температуру сырьевого потока поднимают до 490-510°С и доводят конверсию сырья до заданной величины. Продукты термообработки (крекинга) выводят из печи по линии в реактор или колонну.",Температура; Продукты с меньшей молекулярной массой; Однородная жидкая среда; Двухфазная газопаровая-жидкая среда;
"В рассматриваемой модели по мере прохождения змеевика камеры радиации в районе первой секции  панельных горелок  температуру сырьевого потока повышают по кривой второго порядка до величины разложения (крекинга) сырья (420-430°С), при этом структура потока внутри трубы также изменяется и переходит от однородной (жидкой среды) к двухфазной (газопаровой - жидкой) с дисперсно-кольцевой структурой; в районе второй секции панельных горелок  температуру сырьевого потока поднимают предыдущим образом до 440-460°С, при этом исходное сырье разлагается (крекируется) с образованием низкомолекулярных маловязких компонентов (газ, бензин, легкий и тяжелый газойль), объем потока увеличивается по экспоненциальной зависимости, соответственно, повышается скорость потока и движение потока становится более устойчивым из-за преобладания на большей части змеевика дисперсно-кольцевой структуры потока; в районе третьей секции панельных горелок температуру сырьевого потока повышают плавно до 480°С, при этом в процесс крекинга вовлекаются более термоустойчивые нафтеноароматические углеводороды с дальнейшим увеличением в продуктах крекинга доли низкомолекулярных компонентов; в районе четвертой секции панельных горелок температуру сырьевого потока поднимают до 490-510°С и доводят конверсию сырья до заданной величины.",Температура; Двухфазная газопаровая-жидкая среда;
"Часто абсорберам при малых скоростях газа свойственны явления пассивного выстраивания насадки вдоль стенок аппарата, а также возникновение циркуляционных потоков, когда насадка циркулирует внутри аппарата: в центральной части движется вверх, а у стенок вниз.",Газ; Скорость потока газа;
"В данной полезной модели объяснено, что в условиях высоких линейных скоростей газа за счет соударений газа и жидкости с гофрированными элементами плавающей насадки образуется дополнительная высокоразвитая межфазная вибрирующая поверхность.",Поток газа; Поток жидкости; Межфазная вибрирующая поверхность фаз газ-жидкость;
"Конвективный массообмен - массообмен, обусловленный совместным действием конвективного переноса вещества (массы) и диффузии.",Диффузия вещества;
При этом твердая фаза в виде плавающих подвижных элементов насадки создает дополнительную турбулизацию фаз газ-жидкость.,Газ; Жидкость;
"В рассматриваемой полезной модели выполнение вертикальных ребер из материала, обладающего эффектом памяти, обеспечивает саморегулирование температуры реакционной массы внутри труб трубного пучка, не допуская их перегрева и термической деструкции или переохлаждения.",Температура; Термическая устойчивость реакционной массы;
Это обеспечивает устойчивый тепловой режим реакционной массы внутри каждой трубы трубного пучка.,Реакционная масса;
"В рассматриваемой модели действует следующий режим работы: сверху, на насадку подают поток жидкости, а снизу газ (пар).",Поток жидкости; Поток газа;
"Оба потока - жидкий и газовый на поверхностях витой проволочной пружины и полого цилиндра взаимодействуют друг с другом с образованием поверхности контакта фаз, на которой осуществляются тепло-массообменные процессы.",Жидкость; Образование поверхности контакта фаз; Газ;
"В данном изобретении с выхода компенсирующего источника оптического сигнала оптический сигнал с интенсивностью К усл.ед., пройдя через второе оптическое нановолокно, будет воздействовать на внутреннюю нанотрубку с силой Fk, компенсирующей сумму всех сил, препятствующих движению внутренней нанотрубки вправо (Fw+Fт, где Fw - сила Ван-дер-Ваальса, Fт - сила трения).","Оптический сигнал,; Интенсивность;"
"Так как силы, препятствующие движению внутренней нанотрубки вправо, скомпенсированы, то при наличии ускорения объекта в отрицательном направлении оси ОХ внутренняя нанотрубка под действием силы инерции Fu=-mW (m - масса нанотрубки, W - проекция кажущегося ускорения на ось ОХ) начнет перемещаться вправо.",Сила инерции; Изменение положения нанотрубки;
"Для формирования доменной структуры прикладывают электрическое напряжение между электродами, нанесенными на разные грани пластины.",Напряжение;
"В результате приложения электрического поля под краями полосового электрода на поверхности пластины формируются домены, растущие в глубину пластины.",Изменение размеров доменов;
Наличие такого эффекта подтверждается проведенными ранее экспериментами по формированию заряженных доменных стенок в монокристаллах ниобата лития.,Монокристаллическая пластина; Ниобат лития;
Краевые эффекты оказывает существенное влияние на распределение электрического поля в приповерхностном слое.,Краевое электрическое поле;
Однако в последние годы связные сигналы в возрастающем объеме передают в виде световых пучков по оптическим волноводам.,Оптический сигнал;
"В настоящем изобретении рассмотрено стандартное представление оптического устройства для сдвига частоты, имеющего оптический вход, где принимается входной оптический сигнал с входной оптической частотой, электрический вход, где радиочастотный электрический сигнал возбуждения с электрической частотой в диапазоне сверхвысоких частот принимается для электрического возбуждения оптического устройства для сдвига частоты, и оптический выход, на который подводится выходной оптический сигнал с выходной оптической частотой, равной входной оптической частоте входного оптического сигнала, повышенной на электрическую частоту электрического сигнала возбуждения.",Оптический сигнал; Электрический сигнал; Оптический сигнал;
"Используя эту технологию, связные сигналы в виде световых пучков передают по оптическим волноводам, образованным в подложках, изготовленных из электрооптических материалов, таких как ниобат лития (LiNbO3), который, вероятно, является наиболее широко используемым материалом вследствие его хороших электрооптических свойств и возможности изготовления оптических волноводов с низкими потерями.",Электрооптических материал ниобат лития;
"В данном изобретении рассматривается генерация излучения, стимулированная парами стронция (газовый лазер).",Инфракрасное излучение; Стронций; Стронций переходит в пар;
"В данном изобретении речь идет, прежде всего, о формирующей изображение оптической системе в составе приспособления по обработке материалов с использованием источников света, таких как, прежде всего, лазеры и светодиоды.",Лазерное излучение;
"Под обработкой материалов здесь следует понимать структурирование материалов в микродиапазоне, например, для диэлектрических материалов, таких как, например, биологическая ткань, а также металлические материалы.",Диэлектрический материал;
"Зондирующее свойство оптического (лазерного) излучения основано на том, что объекты, расположенные на пути распространения лазерного луча, вызывают его отражение от своей поверхности.",Оптическое излучение;
"Известны способы определения размеров и концентрации аэрозольных частиц, основанные на измерении ослабления параллельного пучка оптического зондирующего излучения.",Ослабление оптического излучения; Аэрозольные частицы ;
В этом состоянии начинает действовать механизм вынужденного излучения и происходит излучение лазера или же оптическое усиление.,Оптическое усиление;
"Когда число атомов в возбуждённом состоянии превышает количество атомов в основном состоянии, возникает инверсия населённости.",Инверсия населённости;
"Жидкие кристаллы - это фазовое состояние, в которое переходят некоторые вещества при определенных условиях (температура, давление, концентрация в растворе).",Жидкие кристаллы;
"Жидкие кристаллы обладают одновременно свойствами как жидкостей (текучесть), так и кристаллов (анизотропия).",Жидкие кристаллы;
"По структуре ЖК представляют собой вязкие жидкости, состоящие из молекул вытянутой или дискообразной формы, определённым образом упорядоченных во всем объёме этой жидкости.",Жидкие кристаллы;
"Наиболее характерным свойством ЖК является их способность изменять ориентацию молекул под воздействием электрических полей, что открывает широкие возможности для применения их в промышленности.",Жидкие кристаллы; Молекулы ЖК в ЖК-слое изменяют ориентацию;
По типу ЖК обычно разделяют на две большие группы: нематики и смектики.,Жидкие кристаллы;
В свою очередь нематики подразделяются на собственно нематические и холестерические жидкие кристаллы.,Жидкие кристаллы;
"В одном из вариантов осуществления настоящего изобретения система внешней подсветки дополнительно содержит механизм настройки, содержащий электрорегулируемый оптический элемент или перенаправляющий оптический элемент, основанный на жидкокристаллическом эффекте, для настройки углового положения испускаемых пучков света на область, визуально показывающуюся зрителю.",Световой пучок;
Лазерный источник излучает импульсный лазерный свет под управлением блока импульсной регулировки через вход импульсной регулировки лазерного источника.,Импульсный лазерный свет;
Импульсный лазерный свет в ходе работы поступает на вход каскада оптического усилителя.,Импульсный лазерный свет;
Модуляция коэффициента усиления регулируется блоком управления модуляцией через вход регулировки коэффициента усиления каскада усилителя.,Изменение коэффициента усиления;
На выходе каскада усилителя излучается импульсный лазерный свет с модулируемым коэффициентом усиления.,Импульсный лазерный свет;
"Таким образом, генерируют лазерный свет в спектральном диапазоне, усиливают упомянутый лазерный свет с помощью активного оптоволоконного усилителя, модулируют коэффициент усиления для достижения и поддержания упомянутой требуемой характеристики.",Лазерный свет в спектральном диапазоне; Оптическое волокно;
"Если луч света падает перпендикулярно к поверхности кристалла, то на этой поверхности он расщепляется на два луча.",Луч света;
"Первый луч продолжает распространяться прямо, и называется обыкновенным (o — ordinary), второй же отклоняется в сторону, и называется необыкновенным (e — extraordinary).",Обыкновенный луч; Необыкновенный луч;
Впервые обнаружен датским учёным Расмусом Бартолином на кристалле исландского шпата в 1669 году.,Кристалла исландского шпата;
"Внутреннее отражение — явление отражения электромагнитных или звуковых волн от границы раздела двух сред при условии, что волна падает из среды, где скорость её распространения меньше (в случае световых лучей это соответствует большему показателю преломления).",Луч света;
"При этом падающая волна отражается полностью, и значение коэффициента отражения превосходит его самые большие значения для полированных поверхностей.",Коэффициент отражения;
Непрерывный лазерный свет проходит по двум плечам интерферометра.,Непрерывный лазерный свет;
"В отсутствие внешней помехи (движения, звука или вибрации), действующей на два плеча интерферометра, возвращаемый свет не будет изменяться.",Непрерывный лазерный свет;
"При наличии внешней помехи, действующей на два плеча интерферометра, возвращаемый свет будет изменяться и будет генерироваться интерференционная картина.",Непрерывный лазерный свет;
"В соответствии с волновой теорией явления, электромагнитная волна всё же проникает во вторую среду — там распространяется так называемая «неоднородная волна», которая экспоненциально затухает и энергию с собой не уносит.",Электромагнитная волна;
"При этом падающая волна отражается полностью, и значение коэффициента отражения превосходит его самые большие значения для полированных поверхностей.",Увеличение коэффициента отражения;
"Освещение по сути - свет от какого-либо источника; создание освещенности поверхностей предметов, обеспечивающей зрительное восприятие этих предметов.",Освещенность;
"Это – теплопередача, физический процесс передачи тепловой энергии от более горячего тела к менее горячему, либо непосредственно (при контакте), или через разделяющую перегородку из какого-либо материала.",Тепловая энергия;
"Например, испускающий свет элемент данного осветительного модуля может быть в рабочем положении соединен с подложкой, имеющей соответствующую электрическую схему возбуждения (например, печатную плату и т.д.), которая имеет тепловое соединение с теплоотводом для рассеивания тепла, произведенного возбужденным испускающим свет элементом.",Подложка с электрической схемой возбуждения;
"Согласно настоящему изобретению, лазерный свет генерируется в спектральном диапазоне.",Лазерный свет;
Температурный спектральный дрейф длины волны излучаемого лазерного света такого диода DFB обычно составляет порядка 0.1 нм/К или менее.,Лазерный свет;
"Активное волокно представляет собой волокно, совместно легированное Er/Yb, имеющее спектральный диапазон коэффициента усиления от 915 нм до 1500 нм.","Оптическое волокно, совместно легированное Er/Yb;"
"В более общем случае, активное волокно легировано ионами металла, например, ионами эрбия, и/или иттербия, и/или неодима, и/или празеодима, и/или хрома.","Оптическое волокно легировано ионами металла, например; Ионы эрбия; Ионы иттербия; Ионы неодима; Ионы празеодима;"
Фильтры для работы с лазерным излучением - разработаны для фильтрации шума и подавления всех спектральных компонент кроме выбранной линии лазера.,Лазерный свет; Лазерный свет;
"В настоящем изобретении описано, что лазерный свет фильтруется с, по меньшей мере, одной характеристикой фильтра, и спектральная позиция, по меньшей мере, одной характеристики фильтра сдвигается для установления нужной характеристики.",Лазерный свет;
"Характеристика стабилизирующего фильтра, которая представляет собой характеристику узкополосного фильтра, выделяет из спектрального диапазона более узкий спектральный диапазон генерируемого лазерного света, в котором излучение стабилизируется.",Лазерный свет; Cпектральный диапазон;
"Когда имеет место спектральный сдвиг такой характеристики фильтра, как функция температуры в спектральном диапазоне света, излучаемого нестабилизированным лазерным устройством, происходит также спектральный сдвиг еще более узкого диапазона генерируемого лазерного света.",Лазерный свет; Cпектральный диапазон;
"Сдвиг спектральной позиции спектрального диапазона лазерного света в зависимости от температуры регулируют, сдвигая дополнительную спектральную позицию характеристики стабилизирующего фильтра в зависимости от температуры.",Температура;
В результате происходит температурно – механическое преобразование.,Температура;
Температуру преобразуют в механический сигнал.,Температура; Механический сигнал;
Поток излучения от источника вводится в передающий первый световод.,Лазерный свет;
"На выходе передающего световода в зоне измерений формируется поток излучения, заключенный в конусе апертуры световода.",Лазерный свет;
"Часть потока излучения падает на вход второго световода, выводится из зоны измерений к фотоприемнику и преобразуется в пропорциональный электрический сигнал.",Лазерный свет; Электрический сигнал;
"Эффект Фарадея (продольный магнитооптический эффект Фарадея) — магнитооптический эффект, который заключается в том, что при распространении линейно-поляризованного света через оптически активное вещество, находящееся в магнитном поле, наблюдается вращение плоскости поляризации света.",Линейно-поляризованный свет; Магнитное поле;
Особенностью эффекта Фарадея является его «невзаимность»: при смене направления распространения света направление магнитооптического вращения поляризации не меняется.,Поляризация;
"Суть упруго-оптического эффекта состоит в изменении, под действием внешнего механического напряжения, длины полуосей и положения в пространстве эллипсоида показателей преломления ряда материалов – упруго-оптических материалов (это могут быть монокристаллические среды или аморфные оптические материалы, например, оптические стёкла).",Механическое напряжение; Оптические материалы;
Изменение показателей преломления зависит от внешнего механического напряжения сложным образом.,Механическое напряжение; Изменение показателя преломления;
"Когда между электродами прикладывают напряжение постоянного тока, свободные электрические заряды движутся на поверхность соседней выходной ветви оптического волновода на границе раздела с диэлектрическим буферным слоем, который действует как конденсатор",Напряжение постоянного тока;
"Фактически, при формировании оптического волновода (которое включает в себя осаждение и диффузию Ti) обычно создаются дефекты в кристалле подложки и генерируются свободные электрические заряды.",Накопление электрического заряда; Образуются дефекты в кристалле;
"Для поддержания стабильной электрооптической связи (измененного состояния переключателя) необходимо непрерывно корректировать (последствия эффекта дрейфа постоянного тока) напряжение переключения, прикладываемое между электродами, компенсируя таким образом эффект экранирования.",Напряжение;
"Задача настоящего изобретения заключается в том, чтобы обеспечить усовершенствованный цифровой электрооптический переключатель, который позволяет значительно снизить напряжение переключения, прикладываемое к электродам, и полностью исключить эффект дрейфа постоянного тока.",Напряжение;
"В настоящем изобретении упомянутая выше задача решается удалением буферного слоя из структуры и формированием между каждым электродом и поверхностью подложки, находящейся ниже, тонкой пленки, выполненной из оптически прозрачного и с небольшой электропроводностью материала, такого как оксид индия и олова, при этом каждая тонкая пленка является более широкой, чем электрод, находящийся выше, так что она также частично продолжается на соседнюю выходную ветвь оптического волновода.",Напряжение;
"Кроме того, если требуется диапазон частот работы цифрового электрооптического переключателя, буферный слой может быть повторно введен между электродами и оптически прозрачной электропроводной тонкой пленкой для снижения скорости распространения электрического сигнала и получения ее равной скорости распространения оптического сигнала.",Скорость распространения электрического сигнала;
"Расположение такой тонкой пленки между подложкой и электродами позволяет значительно снизить напряжение переключения, подаваемое между внешними электродами при том же самом эффективном электрическом поле, прикладываемом к оптическому волноводу, вследствие чего повышается электрооптическая эффективность цифрового электрооптического переключателя.",Электрооптическая подложка;
"Под воздействием разности сил, обусловленных давлениями световых потоков (разность оптических мощностей 1-5 ватт создает разность сил 5-15 нН), внутренняя нанотрубка будет перемещаться в сторону оптического потока с меньшей интенсивностью.",Разность сил; Телескопические нанотрубки ; Движение нанотрубок.;
"При облучении электронами стекла с ионами щелочных металлов области формирования волновода в приповерхностном слое стекла формируется отрицательный объемный заряд, связанный с накоплением термализованных электронов и высоким удельным сопротивлением стекла, толщина слоя объемного заряда при начальной энергии электронов менее 10 кэВ не превышает 0.5 мкм.",Поток электронов; Стекло;
"Напряженность электрического поля, создаваемого таким слоем объемного заряда, может достигать 100-200 кВ/см.",Напряженность электрического поля;
